population,family,individual,individulal_code,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
A,e,30,A_e_30,1,1,1,1,0,0,0
B,i,4,B_i_4,2,1,2,1,4,6,10
C,d,12,C_d_12,3,1,3,1,2,0,2
D,g,19,D_g_19,4,1,4,1,1,0,1
E,b,11,E_b_11,5,1,5,1,0,0,0
F,j,27,F_j_27,6,1,6,1,0,0,0
G,h,30,G_h_30,7,1,7,1,3,0,3
H,h,23,H_h_23,8,1,8,1,6,0,6
M,h,20,M_h_20,9,1,1,2,1,0,1
Q,g,1,Q_g_1,10,1,2,2,0,5,5
I,g,20,I_g_20,11,1,3,2,1,2,3
F,j,30,F_j_30,12,1,4,2,0,0,0
C,i,4,C_i_4,13,1,5,2,1,0,1
J,f,11,J_f_11,14,1,6,2,1,0,1
R,e,1,R_e_1,15,1,7,2,6,0,6
G,i,20,G_i_20,16,1,8,2,5,0,5
K,a,30,K_a_30,17,1,1,3,8,0,8
R,d,12,R_d_12,18,1,2,3,1,0,1
C,g,1,C_g_1,19,1,3,3,0,0,0
S,j,4,S_j_4,20,1,4,3,12,0,12
Q,a,27,Q_a_27,21,1,5,3,9,0,9
O,d,12,O_d_12,22,1,6,3,24,0,24
U,f,18,U_f_18,23,1,7,3,0,9,9
E,j,27,E_j_27,24,1,8,3,14,0,14
L,b,18,L_b_18,25,1,1,4,0,0,0
C,a,27,C_a_27,26,1,2,4,0,39,39
