,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
142,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1970,Pup production estimates for islands in the Outer Hebrides group,26,41.14456724,-0.020493295,9.341430627,0.004701564,0.000161803,0.000182496,187.7857143,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
143,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1972,Pup production estimates for islands in the Orkney group,28,-69.22074713,0.035076447,4.397588302,0.002214233,1.94E-15,1.65E-15,632.3,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
144,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1973,Pup production estimates for islands in the Orkney group,28,-23.12447783,0.011896765,8.591325481,0.004325825,0.011862321,0.010318336,401.5333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
145,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1974,(Total) pup production estimates for islands in the Inner Hebrides group,16,-108.6208561,0.054829067,12.21278248,0.006129356,1.37E-07,1.26E-07,2462.777778,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
146,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1975,Pup production estimates.,21,-86.31249447,0.043597938,4.957378628,0.002491131,5.88E-14,5.31E-14,1120.086957,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
147,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1976,Pup production estimates for islands in the Orkney group,28,-60.64651302,0.030681737,5.398254787,0.00271808,6.94E-12,6.22E-12,938.0666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
148,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1977,Pup production estimates for islands in the Orkney group,28,-25.03257031,0.012835119,8.874718636,0.004468517,0.008709975,0.007684007,249.7333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
149,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1978,Pup production estimates for islands in the Orkney group,28,-26.80838635,0.013818652,8.554169793,0.004307117,0.004022197,0.003334073,672.1333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
150,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1964,Pup production estimates for islands in the Orkney group,28,-81.65895911,0.041338499,4.93341695,0.002484029,5.43E-16,4.73E-16,974.9666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
151,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1980,Pup production estimates for islands in the Inner Hebrides group,16,-92.41822458,0.046674473,14.8297179,0.007442744,1.20E-05,1.12E-05,317.1666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
